,2021,2020,2019,2018
Revenue,15344138000000,13434592000000,15939421000000,15349939000000
Net Income,86364000000,320376000000,269107000000,-74557000000
Total Assets,18449075000000,17781660000000,18856075000000,19711478000000
Total Liabilities,11481186000000,10929706000000,12620444000000,13835648000000
Total Equity,6967889000000,6851954000000,6235631000000,5875830000000
Total Common Shares,3484000000.41,,,
PER,-21.11,,,
EPS,24.79,,,
PBV,0.31,,,
Book Value Per Share,1981,,,
Price,625,,,
