,2021,2020,2019,2018
Revenue,6091500000000,4873200000000,5015100000000,4101900000000
Net Income,603900000000,804900000000,420000000000,-190800000000
Total Assets,18419400000000,18003900000000,18185700000000,15953700000000
Total Liabilities,11030100000000,10886550000000,10262850000000,8122800000000
Total Equity,7389300000000,7117500000000,7982850000000,7830900000000
Total Common Shares,24821000000.23,,,
PER,7.43,,,
EPS,-4.64,,,
PBV,0.87,,,
Book Value Per Share,297,,,
Price,290,,,
