,2022,2021,2020,2019
Revenue,3865523000000,4020980000000,3335411000000,3067434000000
Net Income,1104714000000,1260898000000,934016000000,807689000000
Total Assets,4081442000000,4068970000000,3849516000000,3529557000000
Total Liabilities,575967000000,597785000000,627783000000,464857000000
Total Equity,3505475000000,3471185000000,3221733000000,3064700000000
Total Common Shares,30000000000,,,
PER,23.63,,,
EPS,36.82,,,
PBV,7.45,,,
Book Value Per Share,116,,,
Price,860,,,
