,2021,2020,2019,2018
Revenue,784410000000,616211000000,975596000000,1095215000000.9
Net Income,-201910000000,-240639000000,-715446000000.12,2751642000000.58
Total Assets,11632711000000,11584431000000,11661598000000,11681203000000
Total Liabilities,3594564000000,3516760000000,3547108000000,3533568000000
Total Equity,8038147000000,8067671000000,8114490000000,8147635000000
Total Common Shares,,,,
PER,-27.79,,,
EPS,-4.64,,,
PBV,0.31,,,
Book Value Per Share,160,,,
Price,50,,,
