,2021,2020,2019,2018
Revenue,46037400000000,27207450000000,41740200000000,44442900000000
Net Income,866250000000,-1763100000000,-272400000000,1201050000000
Total Assets,55372200000000,52405500000000,54242400000000,55049250000000
Total Liabilities,42116400000000,42121800000000,41482350000000,40820100000000
Total Equity,13255650000000,10283700000000,12760050000000,14229300000000
Total Common Shares,5202000000.69,,,
PER,1.68,,,
EPS,,,,
PBV,0.71,,,
Book Value Per Share,2548,,,
Price,2230,,,
