,2021,2020,2019,2018
Revenue,52748850000000,44790450000000,48347250000000,50031600000000
Net Income,7906200000000,4410750000000,4115550000000,8821950000000
Total Assets,134676600000000,127444200000000,127530750000000,131265150000000
Total Liabilities,63303750000000,63707850000000,67454100000000,74700300000000
Total Equity,71373000000000,63736350000000,60076650000000,56564850000000
Total Common Shares,5470000000.98,,,
PER,3.65,,,
EPS,,,,
PBV,0.53,,,
Book Value Per Share,13048,,,
Price,7900,,,
