,2021,2020,2019,2018
Revenue,148294000000.46,200258000000.58,382769000000.69,424705000000.15
Net Income,,6977000000.25,17350000000.82,25859000000.26
Total Assets,,495492000000.4  ,542056000000.62,570650000000.65
Total Liabilities,,263289000000.02,317657000000.65,364550000000.67
Total Equity,,232183000000.67,224398000000.97,206099000000.97
Total Common Shares,2032000000.54,,,
PER,-1.45,,,
EPS,,,,
PBV,0.71,,,
Book Value Per Share,114,,,
Price,52,,,
