,2021,2020,2019,2018
Revenue,20050200000000,22384950000000,68589600000000,64956600000000
Net Income,,-36645600000000,-584100000000,-3467400000000
Total Assets,,161849700000000,66835200000000,62332050000000
Total Liabilities,,190645050000000,58273800000000,53352900000000
Total Equity,,-28795350000000,8561400000000,8979300000000
Total Common Shares,,,,
PER,0.49,,,
EPS,-0.16,,,
PBV,-0.25,,,
Book Value Per Share,-0.09,,,
Price,97,,,
