,2021,2020,2019,2018
Revenue,26754050000000,26009095000000,25132628000000,22938812000000
Net Income,1287807000000,371598000000,712579000000,-3296890000000
Total Assets,72753282000000,67744797000000,62725242000000,57613954000000
Total Liabilities,52664537000000,48607431000000,43603276000000,39270856000000
Total Equity,20088745000000,19137366000000,19121966000000,18343098000000
Total Common Shares,10668000000.19,,,
PER,23.48,,,
EPS,120.75,,,
PBV,1.43,,,
Book Value Per Share,1929,,,
Price,2360,,,
