,2022,2021,2020,2019
Revenue,2498850000000,159750000000,115800000000,223200000000
Net Income,687450000000,-47550000000,-96150000000,-74550000000
Total Assets,3108600000000,740700000000,808350000000,62332050000000
Total Liabilities,1774200000000,537900000000,583650000000,379500000000
Total Equity,1334550000000,202800000000,224700000000,8979300000000
Total Common Shares,11415000000.81,,,537000000000
PER,3.15,,,
EPS,,,,
PBV,-1.91,,,
Book Value Per Share,116,,,
Price,92,,,
