"Date","Price","Open","High","Low","Change %"
"Feb 70","7.240","7.240","7.240","7.240","-7.06%"
"Mar 70","7.070","7.070","7.070","7.070","-2.35%"
"Apr 70","7.390","7.390","7.390","7.390","4.53%"
"May 70","7.910","7.910","7.910","7.910","7.04%"
"Jun 70","7.840","7.840","7.840","7.840","-0.88%"
"Jul 70","7.460","7.460","7.460","7.460","-4.85%"
"Aug 70","7.530","7.530","7.530","7.530","0.94%"
"Sep 70","7.390","7.390","7.390","7.390","-1.86%"
"Oct 70","7.330","7.330","7.330","7.330","-0.81%"
"Nov 70","6.840","6.840","6.840","6.840","-6.68%"
"Dec 70","6.390","6.390","6.390","6.390","-6.58%"
"Jan 71","6.240","6.240","6.240","6.240","-2.35%"
"Feb 71","6.110","6.110","6.110","6.110","-2.08%"
"Mar 71","5.700","5.700","5.700","5.700","-6.71%"
"Apr 71","5.830","5.830","5.830","5.830","2.28%"
"May 71","6.390","6.390","6.390","6.390","9.61%"
"Jun 71","6.520","6.520","6.520","6.520","2.03%"
"Jul 71","6.730","6.730","6.730","6.730","3.22%"
"Aug 71","6.580","6.580","6.580","6.580","-2.23%"
"Sep 71","6.140","6.140","6.140","6.140","-6.69%"
"Oct 71","5.930","5.930","5.930","5.930","-3.42%"
"Nov 71","5.810","5.810","5.810","5.810","-2.02%"
"Dec 71","5.930","5.930","5.930","5.930","2.07%"
"Jan 72","5.950","5.950","5.950","5.950","0.34%"
"Feb 72","6.080","6.080","6.080","6.080","2.18%"
"Mar 72","6.070","6.070","6.070","6.070","-0.16%"
"Apr 72","6.190","6.190","6.190","6.190","1.98%"
"May 72","6.130","6.130","6.130","6.130","-0.97%"
"Jun 72","6.110","6.110","6.110","6.110","-0.33%"
"Jul 72","6.110","6.110","6.110","6.110","0.00%"
"Aug 72","6.210","6.210","6.210","6.210","1.64%"
"Sep 72","6.550","6.550","6.550","6.550","5.48%"
"Oct 72","6.480","6.480","6.480","6.480","-1.07%"
"Nov 72","6.280","6.280","6.280","6.280","-3.09%"
"Dec 72","6.360","6.360","6.360","6.360","1.27%"
"Jan 73","6.460","6.460","6.460","6.460","1.57%"
"Feb 73","6.640","6.640","6.640","6.640","2.79%"
"Mar 73","6.710","6.710","6.710","6.710","1.05%"
"Apr 73","6.670","6.670","6.670","6.670","-0.60%"
"May 73","6.850","6.850","6.850","6.850","2.70%"
"Jun 73","6.900","6.900","6.900","6.900","0.73%"
