"Date","Price","Open","High","Low","Change %"
"Sep 87","9.802","9.802","9.802","9.802","6.72%"
"Oct 87","9.062","9.062","9.062","9.062","-7.55%"
"Nov 87","9.105","9.105","9.105","9.105","0.47%"
"Dec 87","8.967","8.967","8.967","8.967","-1.52%"
"Jan 88","8.441","8.441","8.441","8.441","-5.87%"
"Feb 88","8.358","8.358","8.358","8.358","-0.98%"
"Mar 88","8.787","8.787","8.787","8.787","5.13%"
"Apr 88","9.081","9.081","9.081","9.081","3.35%"
"May 88","9.302","9.302","9.302","9.302","2.43%"
"Jun 88","8.857","8.857","8.857","8.857","-4.78%"
"Jul 88","9.225","9.225","9.225","9.225","4.15%"
"Aug 88","9.310","9.310","9.310","9.310","0.92%"
"Sep 88","8.981","8.981","8.981","8.981","-3.53%"
"Oct 88","8.736","8.736","8.736","8.736","-2.73%"
"Nov 88","9.076","9.076","9.076","9.076","3.89%"
"Dec 88","9.001","9.001","9.001","9.001","-0.83%"
"Jan 89","8.839","8.839","8.839","8.839","-1.80%"
"Feb 89","9.141","9.141","9.141","9.141","3.42%"
"Mar 89","9.106","9.106","9.106","9.106","-0.38%"
"Apr 89","8.906","8.906","8.906","8.906","-2.20%"
"May 89","8.598","8.598","8.598","8.598","-3.46%"
"Jun 89","8.052","8.052","8.052","8.052","-6.35%"
"Jul 89","7.924","7.924","7.924","7.924","-1.59%"
"Aug 89","8.203","8.203","8.203","8.203","3.52%"
"Sep 89","8.242","8.242","8.242","8.242","0.48%"
"Oct 89","7.917","7.917","7.917","7.917","-3.94%"
"Nov 89","7.896","7.896","7.896","7.896","-0.27%"
"Dec 89","7.999","7.999","7.999","7.999","1.30%"
"Jan 90","8.457","8.457","8.457","8.457","5.73%"
"Feb 90","8.549","8.549","8.549","8.549","1.09%"
"Mar 90","8.639","8.639","8.639","8.639","1.05%"
"Apr 90","9.001","9.001","9.001","9.001","4.19%"
"May 90","8.597","8.597","8.597","8.597","-4.49%"
"Jun 90","8.409","8.409","8.409","8.409","-2.19%"
"Jul 90","8.417","8.417","8.417","8.417","0.10%"
"Aug 90","8.988","8.988","8.988","8.988","6.78%"
"Sep 90","8.947","8.947","8.947","8.947","-0.46%"
"Oct 90","8.760","8.760","8.760","8.760","-2.09%"
"Nov 90","8.403","8.403","8.403","8.403","-4.08%"
"Dec 90","8.252","8.252","8.252","8.252","-1.80%"
"Jan 91","8.199","8.199","8.199","8.199","-0.64%"
"Feb 91","8.210","8.210","8.210","8.210","0.13%"
"Mar 91","8.244","8.244","8.244","8.244","0.41%"
"Apr 91","8.186","8.186","8.186","8.186","-0.70%"
"May 91","8.269","8.269","8.269","8.269","1.01%"
"Jun 91","8.408","8.408","8.408","8.408","1.68%"
"Jul 91","8.343","8.343","8.343","8.343","-0.77%"
"Aug 91","8.058","8.058","8.058","8.058","-3.42%"
"Sep 91","7.811","7.811","7.811","7.811","-3.07%"
"Oct 91","7.899","7.899","7.899","7.899","1.13%"
"Nov 91","7.934","7.934","7.934","7.934","0.44%"
"Dec 91","7.396","7.396","7.396","7.396","-6.78%"
"Jan 92","7.758","7.758","7.758","7.758","4.89%"
"Feb 92","7.795","7.795","7.795","7.795","0.48%"
"Mar 92","7.959","7.959","7.959","7.959","2.10%"
"Apr 92","8.036","8.036","8.036","8.036","0.97%"
"May 92","7.835","7.835","7.835","7.835","-2.50%"
"Jun 92","7.780","7.780","7.780","7.780","-0.70%"
"Jul 92","7.437","7.437","7.437","7.437","-4.41%"
"Aug 92","7.409","7.409","7.409","7.409","-0.38%"
"Sep 92","7.377","7.377","7.377","7.377","-0.43%"
"Oct 92","7.628","7.628","7.628","7.628","3.40%"
"Nov 92","7.590","7.590","7.590","7.590","-0.50%"
"Dec 92","7.398","7.398","7.398","7.398","-2.53%"
"Jan 93","7.196","7.196","7.196","7.196","-2.73%"
"Feb 93","6.892","6.892","6.892","6.892","-4.22%"
"Mar 93","6.925","6.925","6.925","6.925","0.48%"
"Apr 93","6.927","6.927","6.927","6.927","0.03%"
"May 93","6.973","6.973","6.973","6.973","0.66%"
"Jun 93","6.674","6.674","6.674","6.674","-4.29%"
"Jul 93","6.561","6.561","6.561","6.561","-1.69%"
"Aug 93","6.093","6.093","6.093","6.093","-7.13%"
"Sep 93","6.026","6.026","6.026","6.026","-1.10%"
"Oct 93","5.967","5.967","5.967","5.967","-0.98%"
"Nov 93","6.298","6.298","6.298","6.298","5.55%"
"Dec 93","6.341","6.341","6.341","6.341","0.68%"
"Jan 94","6.239","6.239","6.239","6.239","-1.61%"
"Feb 94","6.661","6.661","6.661","6.661","6.76%"
"Mar 94","7.086","7.086","7.086","7.086","6.38%"
"Apr 94","7.305","7.305","7.305","7.305","3.09%"
