"Date","Price","Open","High","Low","Change %"
"Sep 87","9.2320","9.2320","9.2320","9.2320","8.03%"
"Oct 87","8.2590","8.2590","8.2590","8.2590","-10.54%"
"Nov 87","8.4650","8.4650","8.4650","8.4650","2.49%"
"Dec 87","8.3800","8.3800","8.3800","8.3800","-1.00%"
"Jan 88","7.7700","7.7700","7.7700","7.7700","-7.28%"
"Feb 88","7.6600","7.6600","7.6600","7.6600","-1.42%"
"Mar 88","8.0440","8.0440","8.0440","8.0440","5.01%"
"Apr 88","8.3210","8.3210","8.3210","8.3210","3.44%"
"May 88","8.7680","8.7680","8.7680","8.7680","5.37%"
"Jun 88","8.4140","8.4140","8.4140","8.4140","-4.04%"
"Jul 88","8.7320","8.7320","8.7320","8.7320","3.78%"
"Aug 88","8.9640","8.9640","8.9640","8.9640","2.66%"
"Sep 88","8.6080","8.6080","8.6080","8.6080","-3.97%"
"Oct 88","8.3640","8.3640","8.3640","8.3640","-2.83%"
"Nov 88","8.9150","8.9150","8.9150","8.9150","6.59%"
"Dec 88","9.1850","9.1850","9.1850","9.1850","3.03%"
"Jan 89","9.0680","9.0680","9.0680","9.0680","-1.27%"
"Feb 89","9.4240","9.4240","9.4240","9.4240","3.93%"
"Mar 89","9.5200","9.5200","9.5200","9.5200","1.02%"
"Apr 89","9.0400","9.0400","9.0400","9.0400","-5.04%"
"May 89","8.6900","8.6900","8.6900","8.6900","-3.87%"
"Jun 89","8.0210","8.0210","8.0210","8.0210","-7.70%"
"Jul 89","7.5430","7.5430","7.5430","7.5430","-5.96%"
"Aug 89","8.2690","8.2690","8.2690","8.2690","9.62%"
"Sep 89","8.3500","8.3500","8.3500","8.3500","0.98%"
"Oct 89","7.8460","7.8460","7.8460","7.8460","-6.04%"
"Nov 89","7.7330","7.7330","7.7330","7.7330","-1.44%"
"Dec 89","7.8730","7.8730","7.8730","7.8730","1.81%"
"Jan 90","8.3290","8.3290","8.3290","8.3290","5.79%"
"Feb 90","8.5960","8.5960","8.5960","8.5960","3.21%"
"Apr 90","9.0470","9.0470","9.0470","9.0470","5.25%"
"May 90","8.5640","8.5640","8.5640","8.5640","-5.34%"
"Jun 90","8.3520","8.3520","8.3520","8.3520","-2.48%"
"Jul 90","8.1110","8.1110","8.1110","8.1110","-2.89%"
"Aug 90","8.6390","8.6390","8.6390","8.6390","6.51%"
"Oct 90","8.2150","8.2150","8.2150","8.2150","-4.91%"
"Nov 90","7.9170","7.9170","7.9170","7.9170","-3.63%"
"Dec 90","7.6900","7.6900","7.6900","7.6900","-2.87%"
"Jan 91","7.6140","7.6140","7.6140","7.6140","-0.99%"
"Feb 91","7.7070","7.7070","7.7070","7.7070","1.22%"
"Mar 91","7.7420","7.7420","7.7420","7.7420","0.45%"
"Apr 91","7.6170","7.6170","7.6170","7.6170","-1.61%"
"May 91","7.7010","7.7010","7.7010","7.7010","1.10%"
"Jun 91","7.8830","7.8830","7.8830","7.8830","2.36%"
"Jul 91","7.7520","7.7520","7.7520","7.7520","-1.66%"
"Aug 91","7.3410","7.3410","7.3410","7.3410","-5.30%"
"Sep 91","6.9060","6.9060","6.9060","6.9060","-5.93%"
"Oct 91","6.7330","6.7330","6.7330","6.7330","-2.51%"
"Nov 91","6.4850","6.4850","6.4850","6.4850","-3.68%"
"Dec 91","5.9270","5.9270","5.9270","5.9270","-8.60%"
"Jan 92","6.4280","6.4280","6.4280","6.4280","8.45%"
"Feb 92","6.5640","6.5640","6.5640","6.5640","2.12%"
"Mar 92","6.9270","6.9270","6.9270","6.9270","5.53%"
"Apr 92","6.8820","6.8820","6.8820","6.8820","-0.65%"
"May 92","6.6050","6.6050","6.6050","6.6050","-4.02%"
"Jun 92","6.2790","6.2790","6.2790","6.2790","-4.94%"
"Jul 92","5.8210","5.8210","5.8210","5.8210","-7.29%"
"Aug 92","5.5780","5.5780","5.5780","5.5780","-4.17%"
"Sep 92","5.3230","5.3230","5.3230","5.3230","-4.57%"
"Oct 92","5.8930","5.8930","5.8930","5.8930","10.71%"
"Nov 92","6.2140","6.2140","6.2140","6.2140","5.45%"
"Dec 92","6.0000","6.0000","6.0000","6.0000","-3.44%"
"Jan 93","5.5530","5.5530","5.5530","5.5530","-7.45%"
"Feb 93","5.2000","5.2000","5.2000","5.2000","-6.36%"
"Mar 93","5.2330","5.2330","5.2330","5.2330","0.63%"
"Apr 93","5.1110","5.1110","5.1110","5.1110","-2.33%"
"May 93","5.3710","5.3710","5.3710","5.3710","5.09%"
"Jun 93","5.0460","5.0460","5.0460","5.0460","-6.05%"
"Jul 93","5.1420","5.1420","5.1420","5.1420","1.90%"
"Aug 93","4.7930","4.7930","4.7930","4.7930","-6.79%"
"Sep 93","4.7640","4.7640","4.7640","4.7640","-0.61%"
"Oct 93","4.8030","4.8030","4.8030","4.8030","0.82%"
"Nov 93","5.1610","5.1610","5.1610","5.1610","7.45%"
"Dec 93","5.1110","5.1110","5.1110","5.1110","-0.97%"
"Jan 94","5.0210","5.0210","5.0210","5.0210","-1.76%"
"Feb 94","5.5800","5.5800","5.5800","5.5800","11.13%"
"Mar 94","6.2290","6.2290","6.2290","6.2290","11.63%"
"Apr 94","6.6340","6.6340","6.6340","6.6340","6.50%"
"May 94","6.7650","6.7650","6.7650","6.7650","1.97%"
"Jun 94","6.9530","6.9530","6.9530","6.9530","2.78%"
"Jul 94","6.7330","6.7330","6.7330","6.7330","-3.16%"
"Aug 94","6.8080","6.8080","6.8080","6.8080","1.11%"
"Sep 94","7.2840","7.2840","7.2840","7.2840","6.99%"
"Oct 94","7.4920","7.4920","7.4920","7.4920","2.86%"
"Nov 94","7.7960","7.7960","7.7960","7.7960","4.06%"
"Dec 94","7.8340","7.8340","7.8340","7.8340","0.49%"
"Jan 95","7.5060","7.5060","7.5060","7.5060","-4.19%"
"Feb 95","7.0500","7.0500","7.0500","7.0500","-6.08%"
"Mar 95","7.0560","7.0560","7.0560","7.0560","0.09%"
"Apr 95","6.8750","6.8750","6.8750","6.8750","-2.57%"
"May 95","6.0590","6.0590","6.0590","6.0590","-11.87%"
"Jun 95","5.9700","5.9700","5.9700","5.9700","-1.47%"
"Jul 95","6.1540","6.1540","6.1540","6.1540","3.08%"
"Aug 95","6.0740","6.0740","6.0740","6.0740","-1.30%"
"Sep 95","6.0220","6.0220","6.0220","6.0220","-0.86%"
"Oct 95","5.8160","5.8160","5.8160","5.8160","-3.42%"
"Nov 95","5.5240","5.5240","5.5240","5.5240","-5.02%"
"Dec 95","5.3850","5.3850","5.3850","5.3850","-2.52%"
"Jan 96","5.2360","5.2360","5.2360","5.2360","-2.77%"
"Feb 96","5.7410","5.7410","5.7410","5.7410","9.64%"
"Mar 96","6.0930","6.0930","6.0930","6.0930","6.13%"
"Apr 96","6.4200","6.4200","6.4200","6.4200","5.37%"
"May 96","6.6340","6.6340","6.6340","6.6340","3.33%"
"Jun 96","6.4690","6.4690","6.4690","6.4690","-2.49%"
"Jul 96","6.5730","6.5730","6.5730","6.5730","1.61%"
"Aug 96","6.7320","6.7320","6.7320","6.7320","2.42%"
