,year,company,pricejan2010,pricemar2023,bvps2023,latitude,longitude,highpricetilldec2022,lowestpricetilldec2022,debtequityratio2023,per2023,revenue2022,netincome2022,equity2022,assets2022,shares2022
0,2010,Airbus Group,14,124,16,43.60465,1.4442,136,14,98,22,58763000000,4247000000,12982000000,115944000000,787000000
1,2010,BASF,40,48,44,49.477409,8.445180,95,39,48,-68,87327000000,-627000000,40923000000,84472000000,893000000
2,2010,Bayer,50,57,42,51.03333,6.98333,141,40,0,11,50739000000,4150000000,38926000000,124877000000,982000000
3,2010,Deutsche Bank,35,11,34,50.1109221,8.6821267,45,5,673,4,37860000000,5525000000,72328000000,1336788000000,2038000000
4,2010,Infineon ,4,34,11,48.074703,11.671462,40,4,39,18,14218000000,2179000000,14944000000,26912000000,1302000000
5,2010,Merck,32,177,65,49.87870,8.646927,227,29,0,22,22232000000,3326000000,26005000000,48526000000,435000000
6,2010,SAP,33,110,36,49.306369,8.642769,139,33,0,56,30871000000,2290000000,42852000000,72160000000,1166000000
7,2010,Mercedes Benz,30,75,76,48.78333,9.183333,76,19,138,5,133893000000,23006000000,71951000000,259831000000,1069000000
