"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/1971","2.4160","2.4160","2.4160","2.4160","","-0.06%"
"03/01/1971","2.4168","2.4168","2.4168","2.4168","","0.03%"
"04/01/1971","2.4193","2.4193","2.4193","2.4193","","0.10%"
"05/01/1971","2.4178","2.4178","2.4178","2.4178","","-0.06%"
"06/01/1971","2.4196","2.4196","2.4196","2.4196","","0.07%"
"07/01/1971","2.4184","2.4184","2.4184","2.4184","","-0.05%"
"08/01/1971","2.4535","2.4535","2.4535","2.4535","","1.45%"
"09/01/1971","2.4847","2.4847","2.4847","2.4847","","1.27%"
"10/01/1971","2.4914","2.4914","2.4914","2.4914","","0.27%"
"11/01/1971","2.4937","2.4937","2.4937","2.4937","","0.09%"
"12/01/1971","2.5520","2.5520","2.5520","2.5520","","2.34%"
"01/01/1972","2.5937","2.5937","2.5937","2.5937","","1.63%"
"02/01/1972","2.6059","2.6059","2.6059","2.6059","","0.47%"
"03/01/1972","2.6163","2.6163","2.6163","2.6163","","0.40%"
"04/01/1972","2.6110","2.6110","2.6110","2.6110","","-0.20%"
"05/01/1972","2.6130","2.6130","2.6130","2.6130","","0.08%"
"06/01/1972","2.4410","2.4410","2.4410","2.4410","","-6.58%"
"07/01/1972","2.4498","2.4498","2.4498","2.4498","","0.36%"
"08/01/1972","2.4483","2.4483","2.4483","2.4483","","-0.06%"
"09/01/1972","2.4195","2.4195","2.4195","2.4195","","-1.18%"
"10/01/1972","2.3405","2.3405","2.3405","2.3405","","-3.27%"
"11/01/1972","2.3522","2.3522","2.3522","2.3522","","0.50%"
"12/01/1972","2.3480","2.3480","2.3480","2.3480","","-0.18%"
"01/01/1973","2.3817","2.3817","2.3817","2.3817","","1.44%"
"02/01/1973","2.4900","2.4900","2.4900","2.4900","","4.55%"
"03/01/1973","2.4755","2.4755","2.4755","2.4755","","-0.58%"
"04/01/1973","2.4890","2.4890","2.4890","2.4890","","0.55%"
"05/01/1973","2.5661","2.5661","2.5661","2.5661","","3.10%"
"06/01/1973","2.5810","2.5810","2.5810","2.5810","","0.58%"
"07/01/1973","2.4990","2.4990","2.4990","2.4990","","-3.18%"
"08/01/1973","2.4580","2.4580","2.4580","2.4580","","-1.64%"
"09/01/1973","2.4135","2.4135","2.4135","2.4135","","-1.81%"
"10/01/1973","2.4385","2.4385","2.4385","2.4385","","1.04%"
"11/01/1973","2.3430","2.3430","2.3430","2.3430","","-3.92%"
"12/01/1973","2.3225","2.3225","2.3225","2.3225","","-0.87%"
"01/01/1974","2.2860","2.2860","2.2860","2.2860","","-1.57%"
"02/01/1974","2.3015","2.3015","2.3015","2.3015","","0.68%"
"03/01/1974","2.3930","2.3930","2.3930","2.3930","","3.98%"
"04/01/1974","2.4240","2.4240","2.4240","2.4240","","1.30%"
"05/01/1974","2.3960","2.3960","2.3960","2.3960","","-1.16%"
"06/01/1974","2.3905","2.3905","2.3905","2.3905","","-0.23%"
"07/01/1974","2.3870","2.3870","2.3870","2.3870","","-0.15%"
"08/01/1974","2.3162","2.3162","2.3162","2.3162","","-2.97%"
"09/01/1974","2.3325","2.3325","2.3325","2.3325","","0.70%"
"10/01/1974","2.3355","2.3355","2.3355","2.3355","","0.13%"
"11/01/1974","2.3255","2.3255","2.3255","2.3255","","-0.43%"
"12/01/1974","2.3470","2.3470","2.3470","2.3470","","0.92%"
"01/01/1975","2.3810","2.3810","2.3810","2.3810","","1.45%"
"02/01/1975","2.4290","2.4290","2.4290","2.4290","","2.02%"
"03/01/1975","2.4027","2.4027","2.4027","2.4027","","-1.08%"
"04/01/1975","2.3524","2.3524","2.3524","2.3524","","-2.09%"
"05/01/1975","2.3170","2.3170","2.3170","2.3170","","-1.50%"
"06/01/1975","2.1844","2.1844","2.1844","2.1844","","-5.72%"
"07/01/1975","2.1515","2.1515","2.1515","2.1515","","-1.51%"
"08/01/1975","2.1101","2.1101","2.1101","2.1101","","-1.92%"
"09/01/1975","2.0429","2.0429","2.0429","2.0429","","-3.18%"
"10/01/1975","2.0781","2.0781","2.0781","2.0781","","1.72%"
"11/01/1975","2.0202","2.0202","2.0202","2.0202","","-2.79%"
"12/01/1975","2.0231","2.0231","2.0231","2.0231","","0.14%"
"01/01/1976","2.0288","2.0288","2.0288","2.0288","","0.28%"
"02/01/1976","2.0251","2.0251","2.0251","2.0251","","-0.18%"
"03/01/1976","1.9150","1.9150","1.9150","1.9150","","-5.44%"
"04/01/1976","1.8409","1.8409","1.8409","1.8409","","-3.87%"
"05/01/1976","1.7590","1.7590","1.7590","1.7590","","-4.45%"
"06/01/1976","1.7841","1.7841","1.7841","1.7841","","1.43%"
"07/01/1976","1.7841","1.7841","1.7841","1.7841","","0.00%"
"08/01/1976","1.7759","1.7759","1.7759","1.7759","","-0.46%"
"09/01/1976","1.6681","1.6681","1.6681","1.6681","","-6.07%"
"10/01/1976","1.5860","1.5860","1.5860","1.5860","","-4.92%"
"11/01/1976","1.6529","1.6529","1.6529","1.6529","","4.22%"
"12/01/1976","1.7021","1.7021","1.7021","1.7021","","2.98%"
"01/01/1977","1.7150","1.7150","1.7150","1.7150","","0.76%"
"02/01/1977","1.7129","1.7129","1.7129","1.7129","","-0.12%"
"03/01/1977","1.7200","1.7200","1.7200","1.7200","","0.41%"
"04/01/1977","1.7194","1.7194","1.7194","1.7194","","-0.03%"
"05/01/1977","1.7188","1.7188","1.7188","1.7188","","-0.03%"
"06/01/1977","1.7203","1.7203","1.7203","1.7203","","0.09%"
"07/01/1977","1.7376","1.7376","1.7376","1.7376","","1.01%"
